epoch,loss_G,loss_D,loss_NCE,loss_ID
1,3.1150157097120275,0.15001647314010785,2.3763923022421656,0.07313439664358516
2,2.514729548624449,0.13441820721151074,1.7440246930281538,0.060104777607531266
3,2.3885372007543335,0.1342555173022683,1.6271747312024014,0.05643005435481881
4,2.3118329085299316,0.13700031401879803,1.571131596961385,0.05242563614929518
5,2.2212699599240455,0.14986403011162983,1.5294843168794992,0.04684184524323745
6,2.185237911797376,0.15722634849272557,1.5152397208423276,0.04348729687175407
7,2.188159814161439,0.15910233978795987,1.522914573460126,0.04178818514888811
8,2.162329384948606,0.16226680052800194,1.5083669718623396,0.040125790888858225
9,2.150043278289012,0.16160475611969413,1.4984148169894356,0.03933763723398802
10,2.129386933183947,0.1637154177705452,1.4858760486641,0.03847220801340479
11,2.113256302139072,0.16396710001028061,1.47342825608157,0.03769228323675354
12,2.1130855201843755,0.16350210202110405,1.472074086381617,0.037256132563910985
13,2.10186209214478,0.16360577422467465,1.46192099587203,0.036755444460191286
14,2.0964979308474394,0.1628261362000204,1.4534317516912094,0.036177992632728424
15,2.1105523259036043,0.16226055325668118,1.465341899976105,0.0357254549606346
16,2.1068794193207805,0.16140725190753782,1.459974676738369,0.035411872765386515
17,2.1063930870816185,0.16087479336672902,1.4574987268937716,0.03522451090165469
18,2.102528860371446,0.1600984938134488,1.452489422882474,0.03494549142710473
19,2.100976746838249,0.16068946444910978,1.4535753047360367,0.0346772415771874
20,2.0818362520807234,0.1613415206960878,1.4376512826029635,0.034499034855411566
21,2.0749714920869113,0.1616877529214836,1.4339232726311284,0.03419027020699098
22,2.0558020175422698,0.16186373001133456,1.4167905860329515,0.03392594968237563
23,2.05741248167279,0.16182380707565372,1.4195623504455768,0.033673501288727925
24,2.0441318509322457,0.16246012163925172,1.4088832685964776,0.03356734683574775
25,2.054918537473514,0.16258431555552047,1.4200731286924306,0.03343050621379501
26,2.024446943607494,0.16355265792724027,1.392380325377414,0.03328983607604389
27,2.027757454990811,0.16358834286581225,1.3972288893769254,0.03310749030259791
28,2.0240518703784605,0.16331094700429608,1.3938243617850694,0.03282554652509698
29,2.023000421997266,0.16399143523942755,1.3958214520010637,0.032990873351588346
